B01001_001E,B01001B_001E,B01001_003E,B01001_004E,B01001_027E,B01001_028E,B01001B_003E,B01001B_004E,B01001B_018E,B01001B_019E,B01001_001M,B01001B_001M,B01001_003M,B01001_004M,B01001_027M,B01001_028M,B01001B_003M,B01001B_004M,B01001B_018M,B01001B_019M,state,zip code tabulation area
4246.0,2186.0,95.0,28.0,93.0,50.0,35.0,28.0,49.0,44.0,391.0,292.0,81.0,27.0,71.0,53.0,56.0,27.0,46.0,53.0,42,15233
595.0,0.0,24.0,27.0,13.0,10.0,0.0,0.0,0.0,0.0,128.0,10.0,21.0,17.0,19.0,15.0,10.0,10.0,10.0,10.0,42,15315
2050.0,28.0,46.0,37.0,63.0,85.0,4.0,0.0,0.0,0.0,325.0,29.0,32.0,29.0,53.0,42.0,6.0,10.0,10.0,10.0,42,15322
540.0,0.0,21.0,2.0,10.0,13.0,0.0,0.0,0.0,0.0,91.0,10.0,14.0,4.0,12.0,12.0,10.0,10.0,10.0,10.0,42,15324
6384.0,121.0,109.0,116.0,280.0,182.0,0.0,0.0,8.0,0.0,172.0,93.0,50.0,59.0,106.0,62.0,15.0,15.0,12.0,15.0,42,15133
1387.0,3.0,51.0,26.0,24.0,25.0,0.0,0.0,0.0,0.0,175.0,5.0,31.0,19.0,20.0,12.0,10.0,10.0,10.0,10.0,42,15329
5171.0,16.0,110.0,182.0,101.0,61.0,0.0,0.0,0.0,0.0,311.0,20.0,57.0,88.0,54.0,30.0,15.0,15.0,15.0,15.0,42,15330
1360.0,0.0,34.0,26.0,26.0,58.0,0.0,0.0,0.0,0.0,319.0,10.0,28.0,23.0,23.0,45.0,10.0,10.0,10.0,10.0,42,15340
1337.0,2.0,19.0,20.0,40.0,32.0,0.0,0.0,0.0,0.0,260.0,13.0,16.0,14.0,24.0,21.0,10.0,10.0,10.0,10.0,42,15357
594.0,0.0,2.0,30.0,16.0,3.0,0.0,0.0,0.0,0.0,121.0,10.0,3.0,25.0,12.0,4.0,10.0,10.0,10.0,10.0,42,15377
106.0,13.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,33.0,9.0,3.0,10.0,3.0,7.0,10.0,10.0,10.0,10.0,42,15379
8112.0,5.0,156.0,143.0,261.0,164.0,0.0,0.0,0.0,0.0,459.0,8.0,57.0,80.0,89.0,96.0,15.0,15.0,15.0,15.0,42,15332
627.0,17.0,16.0,19.0,3.0,21.0,0.0,0.0,0.0,0.0,126.0,29.0,22.0,18.0,4.0,19.0,10.0,10.0,10.0,10.0,42,15337
817.0,0.0,39.0,18.0,20.0,25.0,0.0,0.0,0.0,0.0,131.0,10.0,29.0,13.0,12.0,21.0,10.0,10.0,10.0,10.0,42,15341
1547.0,20.0,63.0,26.0,46.0,11.0,0.0,0.0,0.0,0.0,183.0,37.0,36.0,18.0,33.0,10.0,10.0,10.0,10.0,10.0,42,15349
618.0,0.0,14.0,0.0,33.0,27.0,0.0,0.0,0.0,0.0,224.0,10.0,21.0,10.0,48.0,26.0,10.0,10.0,10.0,10.0,42,15358
170.0,0.0,4.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,41.0,10.0,5.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,42,15359
352.0,0.0,6.0,7.0,5.0,25.0,0.0,0.0,0.0,0.0,96.0,10.0,9.0,11.0,8.0,26.0,10.0,10.0,10.0,10.0,42,15368
18995.0,366.0,515.0,472.0,495.0,431.0,7.0,44.0,3.0,0.0,507.0,180.0,141.0,127.0,140.0,142.0,10.0,59.0,6.0,16.0,42,15425
499.0,0.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,233.0,10.0,10.0,10.0,28.0,28.0,10.0,10.0,10.0,10.0,42,15363
771.0,0.0,47.0,25.0,18.0,22.0,0.0,0.0,0.0,0.0,117.0,10.0,29.0,15.0,17.0,13.0,10.0,10.0,10.0,10.0,42,15364
735.0,66.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,231.0,52.0,10.0,10.0,10.0,52.0,10.0,10.0,10.0,10.0,42,15433
2835.0,141.0,70.0,106.0,50.0,141.0,0.0,0.0,0.0,14.0,351.0,152.0,48.0,68.0,48.0,79.0,10.0,10.0,10.0,20.0,42,15436
1910.0,73.0,119.0,59.0,77.0,39.0,0.0,7.0,0.0,9.0,278.0,51.0,71.0,42.0,61.0,27.0,10.0,11.0,10.0,15.0,42,15442
18029.0,159.0,489.0,510.0,342.0,402.0,0.0,0.0,11.0,0.0,543.0,107.0,152.0,159.0,115.0,130.0,16.0,16.0,19.0,16.0,42,18013
757.0,0.0,12.0,13.0,13.0,15.0,0.0,0.0,0.0,0.0,189.0,10.0,13.0,11.0,16.0,18.0,10.0,10.0,10.0,10.0,42,18030
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,42,18035
5299.0,97.0,180.0,152.0,153.0,123.0,0.0,0.0,5.0,0.0,360.0,49.0,53.0,65.0,51.0,75.0,15.0,15.0,8.0,15.0,42,18041
27568.0,2057.0,778.0,699.0,615.0,1016.0,157.0,13.0,21.0,132.0,101.0,463.0,194.0,149.0,179.0,241.0,113.0,21.0,33.0,67.0,42,18052
2145.0,0.0,36.0,74.0,53.0,29.0,0.0,0.0,0.0,0.0,238.0,10.0,26.0,50.0,34.0,31.0,10.0,10.0,10.0,10.0,42,18053
11631.0,119.0,207.0,268.0,192.0,321.0,0.0,0.0,0.0,13.0,406.0,66.0,79.0,85.0,72.0,101.0,16.0,16.0,16.0,20.0,42,18055
25907.0,91.0,774.0,659.0,583.0,694.0,0.0,0.0,0.0,0.0,703.0,70.0,183.0,154.0,159.0,213.0,19.0,19.0,19.0,19.0,42,18064
811.0,14.0,72.0,80.0,6.0,88.0,0.0,0.0,0.0,14.0,442.0,23.0,95.0,87.0,13.0,92.0,10.0,10.0,10.0,23.0,42,18079
7493.0,2766.0,218.0,142.0,172.0,139.0,116.0,115.0,96.0,53.0,592.0,450.0,85.0,84.0,87.0,100.0,67.0,78.0,81.0,58.0,42,17102
273.0,0.0,4.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,71.0,10.0,5.0,4.0,7.0,15.0,10.0,10.0,10.0,10.0,42,17223
1827.0,0.0,37.0,16.0,29.0,67.0,0.0,0.0,0.0,0.0,361.0,10.0,39.0,17.0,40.0,59.0,10.0,10.0,10.0,10.0,42,17224
